datetime,trade_code,open,high,low,close,volume,amount,chg,pctchg
2001/2/9,000001.SH,1935.188,1963.329,1935.188,1956.97,1123701900,7748484063,26.832,1.39016
2001/2/12,000001.SH,1958.655,1961.81,1935.587,1961.221,720307500,6524706396,4.251,0.217224
2001/2/13,000001.SH,1962.527,1973.999,1958.991,1963.528,540351400,5135049549,2.307,0.117631
2001/2/14,000001.SH,1962.738,1966.84,1956.423,1963.2,438215300,4177529163,-0.328,-0.016705
2001/2/15,000001.SH,1963.449,1966.923,1944.56,1946.479,450675600,4262383222,-16.721,-0.851722
2001/2/16,000001.SH,1942.049,1942.123,1911.871,1941.964,675020900,6112809428,-4.515,-0.231957
2001/2/19,000001.SH,1942.579,1969.347,1935.651,1967.55,584608300,5220087956,25.586,1.317532
2001/2/20,000001.SH,1969.777,1980.386,1947.255,1953.218,643593400,6328305448,-14.332,-0.728419
2001/2/21,000001.SH,1948.417,1948.417,1901.205,1909.326,761781700,7402122577,-43.892,-2.247163
2001/2/22,000001.SH,1901.993,1922.457,1893.783,1907.26,505473400,5184099982,-2.066,-0.108206
2001/2/23,000001.SH,1906.914,1936.634,1906.551,1936.346,620974000,5555908953,29.086,1.525015
2001/2/26,000001.SH,1940.77,1953.771,1935.547,1953.341,730281100,6871463818,16.995,0.877684
2001/2/27,000001.SH,1956.272,1962.284,1946.98,1962.042,739859300,6572695409,8.701,0.445442
2001/2/28,000001.SH,1964.356,1965.021,1950.931,1959.18,614135400,6674842010,-2.862,-0.145868
2001/3/1,000001.SH,1959.009,1968.357,1953.721,1965.121,1166736900,7958979704,5.941,0.303239
2001/3/2,000001.SH,1969.056,1987.389,1968.961,1985.111,1516357700,7911483388,19.99,1.01724
2001/3/5,000001.SH,1991.28,1993.805,1979.654,1984.2,1071935900,7417398265,-0.911,-0.045892
2001/3/6,000001.SH,1986.732,1990.06,1977.111,1990.06,2087223900,14083043121,5.86,0.295333
2001/3/7,000001.SH,1991.276,1996.853,1986.044,1991.177,1389005400,10411173991,1.117,0.056129
2001/3/8,000001.SH,1990.637,2002.252,1989.869,2000.9,1149040300,9116276642,9.723,0.488304
2001/3/9,000001.SH,2003.205,2015.503,1999.478,2011.66,1568103400,12913043000,10.76,0.537758
2001/3/12,000001.SH,2013.312,2015.597,2004.964,2012.552,1233348900,10696975765,0.892,0.044341
2001/3/13,000001.SH,2012.155,2012.772,1992.171,1998.699,1387481900,10681301501,-13.853,-0.68833
2001/3/14,000001.SH,1996.152,2018.619,1994.944,2018.616,1070314700,9090213364,19.917,0.996498
2001/3/15,000001.SH,2019.725,2027.333,2017.588,2022.601,1375851100,11542905272,3.985,0.197412
2001/3/16,000001.SH,2023.029,2024.28,2011.992,2020.236,1238652400,10272257578,-2.365,-0.116929
2001/3/19,000001.SH,2019.851,2036.63,2017.491,2036.617,1395060700,11601354731,16.381,0.810846
2001/3/20,000001.SH,2039.554,2045.941,2037.174,2045.793,1248026300,11586387452,9.176,0.450551
2001/3/21,000001.SH,2047.633,2066.391,2046.434,2066.39,1964284000,12963828235,20.597,1.006798
2001/3/22,000001.SH,2071.202,2087.532,2068.142,2087.532,2361955700,17676007273,21.142,1.023137
2001/3/23,000001.SH,2091.176,2093.949,2052.555,2053.539,2429779300,18580195970,-33.993,-1.628382
